industry,job_title,company_name,company_tier,location,base_salary,bonus_val,equity_val,signing_bonus,working_hours,years_exp,promotion_chance,remote_status
1,Finance,Junior Analyst,Goldman Sachs,Public,New York NY,95000,18000,0,10000,70,1,High,Onsite
2,Technology,Junior Software Engineer,Meta,Public,San Francisco CA,130000,15000,45000,20000,45,1,High,Hybrid
3,Finance,Junior Accountant,Deloitte,Public,Chicago IL,58000,6000,0,3000,45,1,Medium,Hybrid
4,Technology,Data Analyst,Palantir,Public,New York NY,105000,12000,20000,15000,50,2,High,Onsite
5,Healthcare,Medical Coder,HCA Healthcare,Public,Nashville TN,42000,3500,0,2000,40,1,Low,Remote
6,Finance,Equity Research Associate,Morgan Stanley,Public,New York NY,110000,35000,0,15000,72,2,High,Onsite
7,Technology,Junior Frontend Engineer,Stripe,Late-Stage Startup,San Francisco CA,125000,12000,55000,20000,45,1,High,Hybrid
8,Logistics,Supply Chain Analyst,UPS,Public,Atlanta GA,52000,4500,0,2500,42,1,Medium,Hybrid
9,Finance,Quantitative Trader,Jane Street,Private,New York NY,175000,200000,0,50000,75,3,High,Onsite
10,Technology,Machine Learning Engineer,OpenAI,Late-Stage Startup,San Francisco CA,175000,25000,120000,30000,50,3,High,Hybrid
11,Manufacturing,Production Engineer,General Motors,Public,Detroit MI,68000,5500,0,4000,45,2,Medium,Onsite
12,Technology,Junior DevOps Engineer,Cloudflare,Public,Austin TX,98000,9000,18000,12000,42,1,High,Remote
13,Finance,Junior Trader,Citadel,Hedge Fund,Chicago IL,120000,80000,0,25000,80,2,High,Onsite
14,Healthcare,Clinical Research Coordinator,Pfizer,Public,New York NY,62000,5000,2000,3000,42,1,Medium,Hybrid
15,Technology,AI Research Intern,Anthropic,Late-Stage Startup,San Francisco CA,95000,5000,30000,10000,42,0,High,Onsite
16,Energy,Petroleum Engineer,ExxonMobil,Public,Houston TX,95000,12000,5000,8000,45,2,Medium,Onsite
17,Finance,Accountant,Ernst & Young,Public,Cleveland OH,55000,6500,0,2500,43,2,Medium,Hybrid
18,Technology,Junior Product Manager,Airbnb,Public,San Francisco CA,120000,14000,35000,18000,45,2,High,Hybrid
19,Aerospace,Structural Engineer,Boeing,Public,Seattle WA,88000,7000,3000,5000,45,2,Medium,Onsite
